mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
los angeles county,administrative,8599,"Los Angeles County, California, United States of America","anaheim_and_avalon.json,anaheim_and_bakersfield.json,anaheim_and_berkeley.json,anaheim_and_beverly hills.json,anaheim_and_big bear lake.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_los angeles.json,anaheim_and_monterey.json,anaheim_and_oakland.json,anaheim_and_pasadena.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa barbara.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_beverly hills.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_los angeles.json,avalon_and_oakland.json,avalon_and_pasadena.json,avalon_and_riverside.json,avalon_and_san bernardino.json,anaheim_and_napa.json,anaheim_and_santa monica.json,avalon_and_malibu.json,bakersfield_and_huntington beach.json,avalon_and_santa barbara.json,avalon_and_santa clarita.json,avalon_and_santa monica.json,bakersfield_and_berkeley.json,bakersfield_and_beverly hills.json,bakersfield_and_big bear lake.json,bakersfield_and_carlsbad.json,bakersfield_and_long beach.json,bakersfield_and_los angeles.json,bakersfield_and_malibu.json,bakersfield_and_napa.json,bakersfield_and_newport beach.json,bakersfield_and_pismo beach.json,bakersfield_and_sacramento.json,bakersfield_and_san jose.json,bakersfield_and_san luis obispo.json,bakersfield_and_santa cruz.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_temecula.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_newport beach.json,berkeley_and_san luis obispo.json,berkeley_and_santa barbara.json,berkeley_and_santa clarita.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,beverly hills_and_big bear lake.json,berkeley_and_big bear lake.json,berkeley_and_carlsbad.json,berkeley_and_huntington beach.json,berkeley_and_irvine.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_malibu.json,beverly hills_and_mammoth lakes.json,beverly hills_and_monterey.json,beverly hills_and_oakland.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san diego.json,beverly hills_and_san francisco.json,beverly hills_and_san jose.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa ana.json,beverly hills_and_santa barbara.json,beverly hills_and_santa clarita.json,beverly hills_and_santa cruz.json,beverly hills_and_stockton.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_mammoth lakes.json,big bear lake_and_monterey.json,big bear lake_and_napa.json,big bear lake_and_newport beach.json,big bear lake_and_oakland.json,big bear lake_and_pasadena.json,big bear lake_and_sacramento.json,big bear lake_and_san jose.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,carlsbad_and_fresno.json,carlsbad_and_monterey.json,carlsbad_and_napa.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa clarita.json,fresno_and_santa monica.json,huntington beach_and_los angeles.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_oakland.json,huntington beach_and_pasadena.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,huntington beach_and_sausalito.json,huntington beach_and_temecula.json,irvine_and_los angeles.json,irvine_and_mammoth lakes.json,irvine_and_monterey.json,irvine_and_napa.json,irvine_and_oakland.json,irvine_and_sacramento.json,irvine_and_san jose.json,irvine_and_santa barbara.json,irvine_and_santa clarita.json,irvine_and_santa cruz.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,carlsbad_and_san luis obispo.json,fresno_and_riverside.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_riverside.json,long beach_and_san bernardino.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa clarita.json,long beach_and_santa cruz.json,los angeles_and_malibu.json,los angeles_and_mammoth lakes.json,long beach_and_los angeles.json,long beach_and_malibu.json,long beach_and_mammoth lakes.json,los angeles_and_oakland.json,los angeles_and_riverside.json,los angeles_and_sacramento.json,los angeles_and_san bernardino.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,los angeles_and_stockton.json,los angeles_and_temecula.json,malibu_and_napa.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa monica.json,malibu_and_sausalito.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,mammoth lakes_and_santa clarita.json,mammoth lakes_and_santa monica.json,monterey_and_pasadena.json,monterey_and_san diego.json,monterey_and_santa barbara.json,monterey_and_santa clarita.json,monterey_and_temecula.json,napa_and_pasadena.json,napa_and_santa barbara.json,napa_and_santa clarita.json,napa_and_santa monica.json,los angeles_and_newport beach.json,los angeles_and_santa cruz.json,malibu_and_santa clarita.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa clarita.json,newport beach_and_santa cruz.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa monica.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_santa cruz.json,pasadena_and_santa monica.json,pasadena_and_sausalito.json,pismo beach_and_santa clarita.json,riverside_and_sacramento.json,riverside_and_san francisco.json,riverside_and_santa barbara.json,riverside_and_santa clarita.json,riverside_and_santa cruz.json,riverside_and_santa monica.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,sacramento_and_temecula.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san diego_and_santa ana.json,san diego_and_santa clarita.json,san diego_and_santa monica.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san jose_and_san luis obispo.json,san jose_and_santa clarita.json,newport beach_and_sausalito.json,oakland_and_temecula.json,pasadena_and_san bernardino.json,san jose_and_santa monica.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,san luis obispo_and_temecula.json,santa barbara_and_santa clarita.json,santa barbara_and_santa monica.json,santa barbara_and_stockton.json,santa barbara_and_temecula.json,santa clarita_and_santa cruz.json,santa clarita_and_stockton.json,santa clarita_and_temecula.json,santa cruz_and_santa monica.json,santa cruz_and_temecula.json,santa monica_and_temecula.json,stockton_and_temecula.json"
hillhurst ave.,secondary,64,"Hillhurst Avenue, Los Feliz, Little Armenia, LA, Los Angeles County, California, 90027, United States of America","beverly hills_and_pasadena.json,beverly hills_and_riverside.json"
california highway 1,yes,787,"One California Street Building, 1, California Street, Financial District, SF, California, 94121, United States of America","fremont_and_malibu.json,huntington beach_and_monterey.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_santa cruz.json,huntington beach_and_san jose.json,long beach_and_san jose.json,long beach_and_santa cruz.json,los angeles_and_oakland.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_santa cruz.json,monterey_and_oakland.json,monterey_and_pasadena.json,long beach_and_monterey.json,malibu_and_monterey.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_sacramento.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa cruz.json,sacramento_and_santa barbara.json,sacramento_and_santa monica.json,santa cruz_and_santa monica.json"
carmel monterey,city,33,"Carmel-by-the-Sea, Monterey County, California, United States of America",san jose_and_san luis obispo.json
legoland drive carlsbad route,tertiary,52,"Legoland Drive, Carlsbad, San Diego County, California, 92009, United States of America","carlsbad_and_fremont.json,carlsbad_and_pasadena.json"
brea mall,retail,442,"Brea Mall, Downtown Brea, Brea, Orange County, California, 92821, United States of America","anaheim_and_irvine.json,anaheim_and_riverside.json,avalon_and_long beach.json,avalon_and_los angeles.json,bakersfield_and_newport beach.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_oakland.json,huntington beach_and_santa clarita.json,irvine_and_long beach.json,long beach_and_riverside.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_santa ana.json"
san jacinto valley,city,59,"San Jacinto, Riverside County, California, United States of America","san bernardino_and_temecula.json,stockton_and_temecula.json"
grant avenue,residential,282,"Grant Avenue, Salton City, Imperial County, California, 92275, United States of America","bakersfield_and_san francisco.json,long beach_and_san francisco.json,long beach_and_sausalito.json,long beach_and_stockton.json,napa_and_san diego.json,pasadena_and_san francisco.json,riverside_and_san francisco.json,san bernardino_and_sausalito.json,san francisco_and_temecula.json"
barnsdall,residential,130,"East Barnsdall Avenue, Little Armenia, LA, Los Angeles County, California, 90027, United States of America","beverly hills_and_los angeles.json,beverly hills_and_monterey.json,los angeles_and_pasadena.json,los angeles_and_santa monica.json"
galicia,residential,33,"Galicia, Los Angeles County, California, 91750, United States of America",san bernardino_and_santa ana.json
buckhorn,hamlet,64,"Buckhorn, Ventura County, California, United States of America","big bear lake_and_sausalito.json,pismo beach_and_sacramento.json"
muir woods national monument,national_park,32,"Muir Woods National Monument, Hillside Trail, Muir Beach, Marin County, California, 94941, United States of America",mammoth lakes_and_sausalito.json
los gatos creek trail,track,38,"Los Gatos Creek Trail, Los Gatos, Santa Clara County, California, 95030, United States of America",mammoth lakes_and_san luis obispo.json
south figueroa st.,primary,24,"South Figueroa Street, Florence, LA, Los Angeles County, California, 90745, United States of America",avalon_and_pasadena.json
san diego botanical gardens,garden,28,"San Diego Botanical Garden, Old Globe Way, Hillcrest, San Diego, San Diego County, California, 92101, United States of America",carlsbad_and_santa cruz.json
california theatre,cinema,237,"California Theatre, 562, West 4th Street, San Bernardino, San Bernardino County, California, 92401, United States of America","avalon_and_san jose.json,big bear lake_and_santa ana.json,long beach_and_san jose.json,malibu_and_san jose.json,riverside_and_san bernardino.json,san bernardino_and_temecula.json,san jose_and_santa clarita.json,stockton_and_temecula.json"
sister city,peak,31,"Jobs Sister, California, United States of America",fremont_and_san bernardino.json
quinta,city,32,"La Quinta, Riverside County, California, United States of America",beverly hills_and_san diego.json
long beach california,city,28,"Long Beach, Los Angeles County, California, United States of America",long beach_and_pasadena.json
shelby township,peak,54,"Mount Shelby, Santa Cruz County, California, United States of America","avalon_and_oakland.json,beverly hills_and_oakland.json"
saddlebag lake,water,221,"Saddlebag Lake, Saddlebag Lake Road, Mono County, California, United States of America","fresno_and_mammoth lakes.json,fresno_and_riverside.json,long beach_and_mammoth lakes.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa cruz.json,mammoth lakes_and_pismo beach.json,riverside_and_santa cruz.json"
assisi,residential,62,"Assisi Court, Silver Creek, San José, Santa Clara County, California, 95138, United States of America","long beach_and_san francisco.json,long beach_and_stockton.json"
cabrillo highway,motorway,418,"Cabrillo Highway, Downtown, Santa Cruz, Santa Cruz County, California, 95060, United States of America","berkeley_and_san luis obispo.json,huntington beach_and_san luis obispo.json,long beach_and_san francisco.json,malibu_and_san luis obispo.json,malibu_and_santa cruz.json,newport beach_and_san luis obispo.json,san diego_and_san luis obispo.json,san francisco_and_santa cruz.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,san luis obispo_and_santa monica.json,santa cruz_and_santa monica.json"
shandon,village,33,"Shandon, San Luis Obispo County, California, United States of America",monterey_and_san luis obispo.json
santa monica mountains conservancy,park,292,"Santa Monica Mountains Conservancy, Reforma Road, Woodland Hills, LA, Los Angeles County, California, 91364, United States of America","avalon_and_santa clarita.json,big bear lake_and_santa clarita.json,huntington beach_and_pasadena.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_san bernardino.json,santa ana_and_santa clarita.json,santa clarita_and_sausalito.json,santa clarita_and_stockton.json"
evergreen creek trail,stream,38,"Evergreen Creek, San José, Santa Clara County, California, United States of America",mammoth lakes_and_san luis obispo.json
santa anita canyon,residential,55,"Santa Anita Canyon Road, Los Angeles County, California, 91024, United States of America","los angeles_and_pasadena.json,malibu_and_riverside.json"
belmont shore,suburb,1950,"Belmont Shore, Long Beach, Los Angeles County, California, United States of America","anaheim_and_huntington beach.json,anaheim_and_long beach.json,anaheim_and_malibu.json,anaheim_and_newport beach.json,anaheim_and_pismo beach.json,berkeley_and_long beach.json,big bear lake_and_santa ana.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_malibu.json,carlsbad_and_newport beach.json,carlsbad_and_pismo beach.json,carlsbad_and_san jose.json,carlsbad_and_santa monica.json,fresno_and_huntington beach.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_pismo beach.json,huntington beach_and_sacramento.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_sacramento.json,irvine_and_santa monica.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,irvine_and_temecula.json,long beach_and_sacramento.json,long beach_and_san diego.json,long beach_and_stockton.json,long beach_and_los angeles.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_temecula.json,malibu_and_newport beach.json,malibu_and_pismo beach.json,malibu_and_san francisco.json,malibu_and_santa ana.json,los angeles_and_newport beach.json,monterey_and_newport beach.json,newport beach_and_sacramento.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_santa barbara.json,newport beach_and_santa monica.json,newport beach_and_temecula.json,pasadena_and_san diego.json,pismo beach_and_santa monica.json,sacramento_and_santa monica.json,san diego_and_santa monica.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,santa monica_and_temecula.json"
