attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Covina Center for the Performing Arts,"“ Local live theater ” Reviewed September 2, 2015 This local amateur theater company has been active for years, moving from West Covina to Covina 20 years ago, into the very old cinema that was on the verge of collapse. The group puts together an excellent program. This is a fun and different thing to do for an extra special night on the town. Helpful? Thank shanghaijones Report",,5,,,Covina,,,,https://www.tripadvisor.com/Attraction_Review-g32260-d8608465-Reviews-Covina_Center_for_the_Performing_Arts-Covina_California.html,covina.json
Green Tree Golf Course,,"We had read some reviews of Green Tree but what it came right down to is, you are in the middle of the desert, what do you expect. And we’re there for golf, not our wedding, so... read more",8,14,+1 760-245-4860,Victorville,"14144 Green Tree Blvd , Victorville , CA 92395-4323",,,https://www.tripadvisor.com/Attraction_Review-g33224-d181667-Reviews-Green_Tree_Golf_Course-Victorville_California.html,victorville.json
Cinemark 16 Victorville,,"Needed a night out with our friends, went to see bad moms, this was a great movie. The theater was a little crowded and noisy, the temperature was comfortable and the price was... read more",2,19,,Victorville,"14470 Bear Valley Rd , Victorville , CA 92392-5474",,,https://www.tripadvisor.com/Attraction_Review-g33224-d4698300-Reviews-Cinemark_16_Victorville-Victorville_California.html,victorville.json
Santa Anita Race Park,"Horse Tracks , Fun & Games , Casinos & Gambling",The San Gabriel mountains are the perfect backdrop for this spectacular track location. Always fun at the track. Beautiful trees and gardens. Clean bathrooms. Great views anywhere... read more,1,278,+1 626-574-7223,Arcadia,"285 W Huntington Dr , Arcadia , CA 91007-3472",,,https://www.tripadvisor.com/Attraction_Review-g29105-d2482851-Reviews-Santa_Anita_Race_Park-Arcadia_California.html,arcadia.json
LA Racing,,"Most people buy for a first time with some sort of coupon deal, a little complicated to get the reservation, called to see if available, then wait for a confirming email then can... read more",4,12,888-LA-RACING [527-2246],Irwindale,"500 Speedway Dr , Irwindale , CA 91706-1354",,,https://www.tripadvisor.com/Attraction_Review-g32531-d3498530-Reviews-LA_Racing-Irwindale_California.html,irwindale.json
The Mall of Victor Valley,,"Yeah it's small and not a huge amount of stores but I can usually get what I'm looking for without having to drive all the way down the hill. The stores are clean, I feel safe... read more",3,20,(760) 241-3145,Victorville,"14400 Bear Valley Rd , Victorville , CA 92392-5470",,,https://www.tripadvisor.com/Attraction_Review-g33224-d8115431-Reviews-The_Mall_of_Victor_Valley-Victorville_California.html,victorville.json
Mojave Narrows Regional Park Camping,,"Splash pad ( seasonal), horseback riding, fishing in 2lakes and playground, along with camping. Awesome",5,32,+1 760-245-2226,Victorville,"18000 Yates Road , Victorville , CA 92392",-117.270770108114,34.5075043888303,https://www.tripadvisor.com/Attraction_Review-g33224-d2540652-Reviews-Mojave_Narrows_Regional_Park_Camping-Victorville_California.html,victorville.json
North Etiwanda Preserve,,"Our First time to the Etiwanda Falls trail,In Rancho Cucamonga. We started Saturday morning about 11:00 am, it was a little warm, between 75 to 80 degrees. Slight incline the... read more",5,24,+1 909-387-5940,Rancho Cucamonga,"Etiwanda Ave , Rancho Cucamonga , CA 91739",-117.523807,34.094496,https://www.tripadvisor.com/Attraction_Review-g32940-d7981623-Reviews-North_Etiwanda_Preserve-Rancho_Cucamonga_California.html,rancho_cucamonga.json
Cinemark Jess Ranch,,moved to the area recently & visited this theater last week for the first time. everything inside was quite nice & well kept. we especially enjoyed that we had come on a Tuesday... read more,1,25,,Apple Valley,"18935 Bear Valley Rd , Apple Valley , CA 92308-2713",,,https://www.tripadvisor.com/Attraction_Review-g29101-d7149073-Reviews-Cinemark_Jess_Ranch-Apple_Valley_California.html,apple_valley.json
D'vine Wine Bar,,"We went back to the D'Vine Wine Bar. This time on Saturday not long after they opened (about 5pm). It was nice, Really quiet before the music starts.",6,11,+1 760-843-3888,Victorville,"14845 Monarch Blvd , Victorville , CA 92395-6023",,,https://www.tripadvisor.com/Attraction_Review-g33224-d3258334-Reviews-D_vine_Wine_Bar-Victorville_California.html,victorville.json
Angeles National Forest,"Forests , National Parks , Nature & Parks","Spectacular, especially compared to other California ""forests"" that aren't. This one is lush and even has some fall colors. We came here from the southeast direction, from I-15N... read more",4,41,+1 626-574-5200,Arcadia,"701 N Santa Anita Ave , Arcadia , CA 91006-2725",,,https://www.tripadvisor.com/Attraction_Review-g29105-d207972-Reviews-Angeles_National_Forest-Arcadia_California.html,arcadia.json
Triple B Clays,,"It's hard to believe that this gun club is in the heart of the LA basin. But, once there, you'd think you were out in the countryside away from the city. The course is... read more",1,7,+1 626-579-5201,El Monte,"831 Rosemead Blvd , El Monte , CA 91733-4211",,,https://www.tripadvisor.com/Attraction_Review-g32338-d3658792-Reviews-Triple_B_Clays-El_Monte_California.html,el_monte.json
Ashwood Golf Course,,Great clean place good place for seniors. Golf coarse is fun you get to meet new people very friendly atmosphere.,2,11,+1 760-240-1800,Apple Valley,"10885 Apple Valley Rd , Apple Valley , CA 92308-7588",,,https://www.tripadvisor.com/Attraction_Review-g29101-d947040-Reviews-Ashwood_Golf_Course-Apple_Valley_California.html,apple_valley.json
Holiday Skate Center,,"This is an old original gem of a skating rink, and would have been the height of cool in the 1970's! It's in original condition and is an awesome flashback for parents who take... read more",12,3,+1 760-241-6813,Victorville,"14950 Palmdale Rd , Victorville , CA 92392-2506",,,https://www.tripadvisor.com/Attraction_Review-g33224-d3977014-Reviews-Holiday_Skate_Center-Victorville_California.html,victorville.json
Cadillac Ranch,,"This bar is an experience if you're not from the U.S. The live band was fantastic,playing many great songs. The crowd was eclectic to say the least, with lots of bikers, and... read more",9,2,+1 760-247-7060,Apple Valley,"22581 US Highway 18 , Apple Valley , CA 92307-4315",,,https://www.tripadvisor.com/Attraction_Review-g29101-d5831848-Reviews-Cadillac_Ranch-Apple_Valley_California.html,apple_valley.json
Monarch Family Fun Zone,"“ Good for a friend's night out ” Reviewed May 15, 2015 Two words: LASER TAG!! Also Cosmic Golf and the arcade is loads of fun as well. There's an ice cream parlor right next door. Overall good experience! Helpful? 1 Thank Julio S Report",,14,,,Victorville,,,,https://www.tripadvisor.com/Attraction_Review-g33224-d8090190-Reviews-Monarch_Family_Fun_Zone-Victorville_California.html,victorville.json
Apple Valley Legacy Museum,,"Stopped by the other day. It's a nice little look back into the past of the Town of Apple Valley, There is some hope that they can expand and preserve some of the history of... read more",6,4,+(1)(760) 985-1918,Apple Valley,"20601 CA-18 , Apple Valley Inn Cottage #153 , Apple Valley , CA 92307",,,https://www.tripadvisor.com/Attraction_Review-g29101-d8627113-Reviews-Apple_Valley_Legacy_Museum-Apple_Valley_California.html,apple_valley.json
Sierra Madre Playhouse,,Dang you for putting this up. My favorite go to theater in all of Los Angeles. With 99 this historic theater in Sierra Madre doesn't have a bad seat in the house. Their... read more,1,7,626 355-4318,Sierra Madre,"87 W Sierra Madre Blvd , Sierra Madre , CA 91024-2462",,,https://www.tripadvisor.com/Attraction_Review-g33089-d8672104-Reviews-Sierra_Madre_Playhouse-Sierra_Madre_California.html,sierra_madre.json
Shops at Montebello,,A nice decent Mall. Lots of stores. Unlike some other malls that are starting to close down many stores. The place is clean it's well-kept. Plenty of parking. And restaurants too,2,13,,Montebello,"2134 Montebello Town Ctr , Montebello , CA 90640-2170",,,https://www.tripadvisor.com/Attraction_Review-g32735-d4491504-Reviews-Shops_at_Montebello-Montebello_California.html,montebello.json
Montebello Barnyard Zoo,,"We had a fabulous day! The kids adored seeing and feeding the assortment of animals. The train with country music is fun, the pony rides great, led by caring staff. I t looks like... read more",1,12,+1 213-718-5442,Montebello,"600 Rea Dr , Montebello , CA 90640-2761",,,https://www.tripadvisor.com/Attraction_Review-g32735-d4089239-Reviews-Montebello_Barnyard_Zoo-Montebello_California.html,montebello.json
American Millitary Museum,,This museum is only open Saturdays and Sundays. But you can peek over the fence and see a lot of the different vehicles and Military things that they have on display. It looks... read more,3,5,(626) 442-1776,South El Monte,"1918 Rosemead Blvd , South El Monte , CA 91733-2948",,,https://www.tripadvisor.com/Attraction_Review-g33112-d8441513-Reviews-American_Millitary_Museum-South_El_Monte_California.html,south_el_monte.json
Mavericks Stadium,,"This is home to the High Desert Mavericks of the California League, a farm team of the Texas Rangers. For the low price of admission you get to sit in a very comfortable feeling... read more",1,13,,Adelanto,"12000 Stadium Rd , Adelanto , CA 92301-3400",,,https://www.tripadvisor.com/Attraction_Review-g29066-d6942899-Reviews-Mavericks_Stadium-Adelanto_California.html,adelanto.json
Victor Bowl,,"Good price to go bowling, and the pizza they sell here is always a must to get. Great for a date night, family night out, and more!",10,3,(760) 241-7396,Victorville,"12277 Mariposa Rd , Victorville , CA 92395",-117.3282269,34.4960629,https://www.tripadvisor.com/Attraction_Review-g33224-d8084590-Reviews-Victor_Bowl-Victorville_California.html,victorville.json
Sunset Hills Memorial Park,,My husband and I have lived in the high desert/Apple Valley for the last 18 years and we have never been to Sunset Hills. We have been invited to events held at this venue but... read more,4,13,+1 760-247-0155,Apple Valley,"24000 Waalew Rd , Apple Valley , CA 92307-6913",,,https://www.tripadvisor.com/Attraction_Review-g29101-d2343708-Reviews-Sunset_Hills_Memorial_Park-Apple_Valley_California.html,apple_valley.json
Victor Valley Museum,,I go at least once a year. Lots of good info including history of Dale Evans and Roy Rogers. Good for everyone,7,4,+(1)760-240-2111,Apple Valley,"11873 Apple Valley Rd , Apple Valley , CA 92308-3670",,,https://www.tripadvisor.com/Attraction_Review-g29101-d8682857-Reviews-Victor_Valley_Museum-Apple_Valley_California.html,apple_valley.json
Yoga Madre,,I'm not huge into yoga but I have been to a few classes at Yoga Madre. The instructors are always nice and helpful. They have a variety of classes and times so I think there is... read more,2,2,,Sierra Madre,"16 W Sierra Madre Blvd , Sierra Madre , CA 91024-2434",,,https://www.tripadvisor.com/Attraction_Review-g33089-d5957850-Reviews-Yoga_Madre-Sierra_Madre_California.html,sierra_madre.json
Montebello Golf Course,,Monday Chinese New Years ! First time on the range ! 8 use for 120 balls not bad ! Range so so but balls are fine and no frills practice is fine by me ! Lunch at the cafe bar not... read more,3,8,+1 323-887-4640,Montebello,"901 Via San Clemente , Montebello , CA 90640-1610",,,https://www.tripadvisor.com/Attraction_Review-g32735-d3173565-Reviews-Montebello_Golf_Course-Montebello_California.html,montebello.json
Pio Pico State Historical Park,,"This landmark has been lovingly restored to the late period when Don Pio lived there. It's a nice, quick trip to a historic site for the kids. Also a nice place to picnic. ADA... read more",3,17,+1 562-695-1217,Whittier,"6003 Pioneer Blvd , Whittier , CA 90606-1228",,,https://www.tripadvisor.com/Attraction_Review-g33268-d3253379-Reviews-Pio_Pico_State_Historical_Park-Whittier_California.html,whittier.json
Camarillo,,"Here is the perfect place for shopping. A long drive, almost one hour from LA, but at least you can find everything with free parking in a single place. All brands are there, and... read more",2,8,+1 805-445-8520,South El Monte,"11233 Remer St , South El Monte , CA 91733-4039",,,https://www.tripadvisor.com/Attraction_Review-g33112-d4783431-Reviews-Camarillo-South_El_Monte_California.html,south_el_monte.json
Elmer Long's Bottle Tree Ranch,"Points of Interest & Landmarks , Sights & Landmarks",I only live about an hour from the Elmer's Ranch. What a treat it was to visit! I've been waiting for the weather to cool down to go-it was cloudy and the wind blowing so all of... read more,1,137,,Oro Grande,"24266 National Trails Hwy , Oro Grande , CA 92368-9729",,,https://www.tripadvisor.com/Attraction_Review-g32834-d3227821-Reviews-Elmer_Long_s_Bottle_Tree_Ranch-Oro_Grande_California.html,oro_grande.json
El Mirage Lake,,El Mirage dry lake bed has been home to Land Speed Racing (LSR) for more than half a century. The Southern California Timing Association (SCTA) was born here. Great place to watch... read more,2,2,,Adelanto,"20471 Mountain View Rd , Adelanto , CA 92301",-117.4360673,34.5612238,https://www.tripadvisor.com/Attraction_Review-g29066-d9772342-Reviews-El_Mirage_Lake-Adelanto_California.html,adelanto.json
"Legg Lake Park, Whittier Narrows Recreation Area",,I usually come here to run or bike either early in the morning or late in the afternoon. This park attracts many people and the park can get full during weekends. I recommend for... read more,1,6,(626) 575-5526,South El Monte,"750 Santa Anita Ave , South El Monte , CA 91733-4300",,,https://www.tripadvisor.com/Attraction_Review-g33112-d8755052-Reviews-Legg_Lake_Park_Whittier_Narrows_Recreation_Area-South_El_Monte_California.html,south_el_monte.json
